model_name,threshold,validation_f1_at_threshold,default_accuracy,default_precision,default_recall,default_f1_score,accuracy,precision,recall,f1_score,roc_auc,pr_auc,confusion_matrix,training_time,threshold_source,status
hgb_lr0.03_leaf15_l20.0,0.38499999999999995,0.7311060655205969,0.8683266932270917,0.7770248467247499,0.6508108108108108,0.708339461685542,0.8583665338645419,0.6967110218428321,0.75,0.7223740726278798,0.9248003425961173,0.8252969798503753,"[[10152, 1208], [925, 2775]]",3.317418098449707,train_validation_split,ok
hgb_lr0.03_leaf15_l20.01,0.38999999999999996,0.7311336164652075,0.8690571049136786,0.7771007055805004,0.6548648648648648,0.7107656204165445,0.8604249667994688,0.7047667862634547,0.7432432432432432,0.7234938174164693,0.9250382565664256,0.8259500508517241,"[[10208, 1152], [950, 2750]]",2.8823459148406982,train_validation_split,ok
hgb_lr0.03_leaf15_l20.1,0.38499999999999995,0.7289780077619664,0.8683930942895086,0.7751441383728379,0.654054054054054,0.7094693638229258,0.8589641434262948,0.6979899497487437,0.7508108108108108,0.7234375,0.9250781904263418,0.8259520923617244,"[[10158, 1202], [922, 2778]]",2.896759033203125,train_validation_split,ok
hgb_lr0.03_leaf31_l20.0,0.4049999999999999,0.7269142293789024,0.8673306772908367,0.7681159420289855,0.658918918918919,0.7093395402967705,0.8602921646746348,0.7091194968553459,0.7313513513513513,0.7200638637573177,0.9247433978873241,0.8249934243481727,"[[10250, 1110], [994, 2706]]",4.968160390853882,train_validation_split,ok
hgb_lr0.03_leaf31_l20.01,0.38499999999999995,0.7280361757105943,0.8681938911022576,0.7712749130022145,0.658918918918919,0.7106835738230579,0.8575033200531208,0.6946392785571143,0.7494594594594595,0.7210088403536141,0.9248327107917776,0.8252761914475402,"[[10141, 1219], [927, 2773]]",4.6175925731658936,train_validation_split,ok
hgb_lr0.03_leaf31_l20.1,0.37499999999999994,0.727563078888534,0.8677954847277557,0.7699842022116904,0.6586486486486487,0.7099781500364166,0.8568393094289508,0.6901477832512315,0.7572972972972973,0.7221649484536082,0.9246118076703465,0.8250726772823844,"[[10102, 1258], [898, 2802]]",4.729640007019043,train_validation_split,ok
hgb_lr0.03_leaf63_l20.0,0.37999999999999995,0.7247119078104993,0.8669322709163346,0.7656641604010025,0.6605405405405406,0.7092280905397562,0.8578353253652058,0.6933763334160258,0.7554054054054054,0.7230629931444833,0.9240404453749524,0.8240121595444311,"[[10124, 1236], [905, 2795]]",5.382139444351196,train_validation_split,ok
hgb_lr0.03_leaf63_l20.01,0.37999999999999995,0.723527518506598,0.8656042496679947,0.7638539042821159,0.6556756756756756,0.7056428155904596,0.8567729083665339,0.6928267933016746,0.7491891891891892,0.719906505648617,0.923972283022459,0.8240266607689883,"[[10131, 1229], [928, 2772]]",4.632347583770752,train_validation_split,ok
hgb_lr0.03_leaf63_l20.1,0.36999999999999994,0.7226997771410378,0.8664010624169987,0.7640801001251565,0.66,0.7082366589327146,0.8551792828685258,0.6856514299682229,0.7581081081081081,0.7200616095494802,0.9240249333840884,0.8241283955237292,"[[10074, 1286], [895, 2805]]",5.099986791610718,train_validation_split,ok
hgb_lr0.05_leaf15_l20.0,0.38499999999999995,0.728515625,0.8687250996015936,0.7762103238217377,0.6543243243243243,0.710074791025077,0.8590305444887119,0.699166456175802,0.7481081081081081,0.7228097662880272,0.9249744837266844,0.8259038395082083,"[[10169, 1191], [932, 2768]]",1.655339241027832,train_validation_split,ok
hgb_lr0.05_leaf15_l20.01,0.4149999999999999,0.7270288397048961,0.8670650730411686,0.7715930902111324,0.6518918918918919,0.7067096396132435,0.8628154050464808,0.7199784598815293,0.7227027027027026,0.7213380091718371,0.9249989531785308,0.8256872768876851,"[[10320, 1040], [1026, 2674]]",1.5166957378387451,train_validation_split,ok
hgb_lr0.05_leaf15_l20.1,0.4149999999999999,0.7294669795507878,0.8679946879150067,0.7745349583066068,0.6527027027027027,0.7084188911704312,0.8640106241699868,0.7227615965480043,0.7243243243243244,0.7235421166306696,0.9248082770270272,0.8252452337965493,"[[10332, 1028], [1020, 2680]]",1.5052704811096191,train_validation_split,ok
