experiment_id,seed,model_name,is_dp,dataset,train_size,test_size,input_dim,epochs,batch_size,learning_rate,optimizer,momentum,noise_multiplier,max_grad_norm,delta,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,notes,status,device,baseline_f1,f1_drop_vs_mlp_baseline,reference_baseline_f1,f1_drop_vs_reference_baseline
dp_mlp_bs_256_clip_0p5_noise_3p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,0.5,1e-05,0.5124487055209154,0.8464143426294821,0.7567567567567568,0.5524324324324325,0.6386502109045462,"[[10703, 657], [1656, 2044]]",0.9019623858012944,0.7657622930550849,31.666023015975952,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0258573704291796,0.6950887650641441,0.056438554159597865
dp_mlp_bs_256_clip_1p0_noise_3p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,1.0,1e-05,0.5124487055209154,0.8461487383798141,0.7581187010078387,0.548918918918919,0.636776924282803,"[[10712, 648], [1669, 2031]]",0.8981732727445756,0.7604781945517304,32.84880232810974,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0277306570509229,0.6950887650641441,0.05831184078134111
dp_mlp_bs_256_clip_2p0_noise_3p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,2.0,1e-05,0.5124487055209154,0.8382470119521912,0.7110888443553774,0.5754054054054054,0.6360920227069017,"[[10495, 865], [1571, 2129]]",0.8872104349067377,0.7305242336297958,32.74450397491455,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0284155586268242,0.6950887650641441,0.05899674235724239
dp_mlp_bs_256_clip_3p0_noise_3p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,3.0,1e-05,0.5124487055209154,0.8230411686586986,0.6956521739130435,0.4972972972972973,0.5799842395587076,"[[10555, 805], [1860, 1840]]",0.8667219618385991,0.6739209765371271,31.6335027217865,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0845233417750183,0.6950887650641441,0.11510452550543648
dp_mlp_bs_256_clip_0p5_noise_5p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,5.0,0.5,1e-05,0.2908048389206701,0.8423638778220451,0.7470193740685543,0.5418918918918919,0.6281328320802005,"[[10681, 679], [1695, 2005]]",0.8953959483250857,0.7527316069346046,31.47562861442566,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0363747492535253,0.6950887650641441,0.06695593298394353
dp_mlp_bs_256_clip_1p0_noise_5p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,5.0,1.0,1e-05,0.2908048389206701,0.8368525896414343,0.7072357452484161,0.5732432432432433,0.6332288401253918,"[[10482, 878], [1579, 2121]]",0.8861127355348306,0.7292430680915886,31.8275625705719,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.031278741208334,0.6950887650641441,0.06185992493875225
dp_mlp_bs_256_clip_2p0_noise_5p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,5.0,2.0,1e-05,0.2908048389206701,0.803652058432935,0.6039742513294151,0.5832432432432433,0.5934277464595078,"[[9945, 1415], [1542, 2158]]",0.8545316187666538,0.6318489376318378,31.18519926071167,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0710798348742181,0.6950887650641441,0.10166101860463628
dp_mlp_bs_256_clip_3p0_noise_5p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,5.0,3.0,1e-05,0.2908048389206701,0.7849269588313413,0.6148480318883907,0.3335135135135135,0.4324513755037673,"[[10587, 773], [2466, 1234]]",0.8211293538256565,0.5624163024861423,31.441741466522217,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.2320562058299586,0.6950887650641441,0.2626373895603768
dp_mlp_bs_256_clip_0p5_noise_8p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,8.0,0.5,1e-05,0.1766339053938553,0.8340637450199203,0.7154646573376391,0.538918918918919,0.6147679975335286,"[[10567, 793], [1706, 1994]]",0.8833037328701941,0.7261080871553107,29.539061069488525,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0497395838001972,0.6950887650641441,0.08032076753061546
dp_mlp_bs_256_clip_1p0_noise_8p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,8.0,1.0,1e-05,0.1766339053938553,0.8113545816733068,0.6300333030578262,0.5624324324324325,0.594316721405112,"[[10138, 1222], [1619, 2081]]",0.8587732441948991,0.6479722683568873,29.879709005355835,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0701908599286138,0.6950887650641441,0.10077204365903203
dp_mlp_bs_256_clip_2p0_noise_8p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,8.0,2.0,1e-05,0.1766339053938553,0.7824037184594953,0.5825849277625927,0.4032432432432432,0.4766011819198211,"[[10291, 1069], [2208, 1492]]",0.8169154334792539,0.5429742627445848,29.488365411758423,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.1879063994139048,0.6950887650641441,0.21848758314432298
