model_config,mean_accuracy,std_accuracy,mean_f1_score,std_f1_score,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc,mean_epsilon,std_epsilon
dp_noise_1.0,0.8516821602478973,0.0010336692721412124,0.6655277332469361,0.007350922676254884,0.9061046028422789,0.0002460400533043199,0.7760849602635694,0.0001982108102969852,2.3533992349495967,0.0
dp_noise_1.5,0.8504648074369191,0.0008320029273666411,0.6619536274119907,0.01014838770872742,0.904569744480396,0.0005501237782393085,0.7729931286298909,0.0009519716756680352,1.21430041194964,0.0
dp_noise_3.0,0.8457724656927844,0.0007977344528968278,0.6512956046125744,0.01541857274610675,0.8969397760436494,0.0018884778222342357,0.7571268930613027,0.002062180820037412,0.5124487055209154,0.0
mlp_baseline,0.8491146525011066,0.0010672477601807056,0.6693828948605023,0.005293966885773159,0.9044280984329399,0.0014690771576243667,0.7728710840946785,0.0019837464726867086,,
