experiment_id,seed,model_name,is_dp,dataset,train_size,test_size,input_dim,epochs,batch_size,learning_rate,optimizer,momentum,noise_multiplier,max_grad_norm,delta,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,notes
dp_mlp_bs_64_clip_1p0_noise_1p5_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,64,0.05,sgd,0.9,1.5,1.0,1e-05,0.5644755310680792,0.7933598937583002,0.7732342007434945,0.22486486486486487,0.34840871021775544,"[[11116, 244], [2868, 832]]",0.8570669489912448,0.6555731031794535,78.18642950057983,DP-SGD with Opacus PrivacyEngine
dp_mlp_bs_128_clip_1p0_noise_1p5_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,128,0.05,sgd,0.9,1.5,1.0,1e-05,0.8253931178948875,0.850265604249668,0.7723332076894082,0.5537837837837838,0.6450495828742326,"[[10756, 604], [1651, 2049]]",0.8990019984773507,0.7655620916384629,64.58307528495789,DP-SGD with Opacus PrivacyEngine
dp_mlp_bs_256_clip_1p0_noise_1p5_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,1.5,1.0,1e-05,1.21430041194964,0.849667994687915,0.7474155754651964,0.5862162162162162,0.6570736140563466,"[[10627, 733], [1531, 2169]]",0.9047144913399315,0.7728269149467397,64.28873467445374,DP-SGD with Opacus PrivacyEngine
dp_mlp_bs_512_clip_1p0_noise_1p5_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,512,0.05,sgd,0.9,1.5,1.0,1e-05,1.7990588844220654,0.851394422310757,0.7515485203028217,0.5902702702702702,0.6612170753860127,"[[10638, 722], [1516, 2184]]",0.9063939022649409,0.7737591307412724,54.07434797286987,DP-SGD with Opacus PrivacyEngine
