experiment_id,seed,model_name,model_variant,is_dp,dataset,train_size,test_size,input_dim,epochs,batch_size,learning_rate,optimizer,momentum,noise_multiplier,max_grad_norm,hidden_dims,dropout,delta,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,notes,status,device,reference_f1,f1_drop_vs_reference
dp_mlp_bs_256_clip_2p0_noise_2p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,2.0,2.0,64-32,0.1,1e-05,1.35680185345481,0.8468127490039841,0.7391005835907999,0.5818918918918919,0.6511416906094057,"[[10600, 760], [1547, 2153]]",0.896567044156833,0.761674955176305,60.95782828330994,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.07615359475039574
dp_mlp_bs_256_clip_3p0_noise_2p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,2.0,3.0,64-32,0.1,1e-05,1.35680185345481,0.8428950863213811,0.7567359507313318,0.5313513513513514,0.62432518259765,"[[10728, 632], [1734, 1966]]",0.8904506447468595,0.7455748556295174,61.7334246635437,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.10297010276215146
dp_mlp_bs_256_clip_0p5_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,3.0,0.5,64-32,0.1,1e-05,0.834839851397477,0.8471447543160691,0.7552958363769174,0.5589189189189189,0.6424355389872631,"[[10690, 670], [1632, 2068]]",0.9019311239055957,0.7684408042890009,61.17517685890198,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.08485974637253835
dp_mlp_bs_256_clip_1p0_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,3.0,1.0,64-32,0.1,1e-05,0.834839851397477,0.8456175298804781,0.748464040477051,0.5597297297297297,0.6404824493582805,"[[10664, 696], [1629, 2071]]",0.8970993647696993,0.7617496605939966,59.02912259101868,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.08681283600152101
dp_mlp_bs_256_clip_2p0_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,3.0,2.0,64-32,0.1,1e-05,0.834839851397477,0.8379150066401062,0.7572537801389456,0.5008108108108108,0.6028957214901578,"[[10766, 594], [1847, 1853]]",0.8825957008945564,0.7368664014112729,62.30469751358032,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.12439956386964368
dp_mlp_bs_256_clip_3p0_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,3.0,3.0,64-32,0.1,1e-05,0.834839851397477,0.8285524568393094,0.6940972222222223,0.5402702702702703,0.6075987841945288,"[[10479, 881], [1701, 1999]]",0.866076834316711,0.706553687597447,61.42356824874878,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.11969650116527264
dp_mlp_bs_256_clip_0p5_noise_5p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,5.0,0.5,64-32,0.1,1e-05,0.47132584733530464,0.846547144754316,0.7554247885251931,0.5551351351351351,0.6399750739990653,"[[10695, 665], [1646, 2054]]",0.8945421940426341,0.7568285528822748,61.54280710220337,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.0873202113607362
dp_mlp_bs_256_clip_1p0_noise_5p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,5.0,1.0,64-32,0.1,1e-05,0.47132584733530464,0.8413014608233732,0.7253957329662767,0.5697297297297297,0.6382076899788072,"[[10562, 798], [1592, 2108]]",0.8810179744004567,0.7406370890292091,61.420283794403076,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.08908759538099431
dp_mlp_bs_256_clip_2p0_noise_5p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,5.0,2.0,64-32,0.1,1e-05,0.47132584733530464,0.8074369189907038,0.65600624024961,0.4545945945945946,0.5370370370370371,"[[10478, 882], [2018, 1682]]",0.8348316044918158,0.6489189417189255,61.28474521636963,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.1902582483227644
dp_mlp_bs_256_clip_3p0_noise_5p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,5.0,3.0,64-32,0.1,1e-05,0.47132584733530464,0.7255644090305445,0.38880328710837186,0.2045945945945946,0.26810695944749424,"[[10170, 1190], [2943, 757]]",0.7163265012371527,0.37277561737030773,61.130146980285645,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.45918832591230724
dp_mlp_bs_256_clip_0p5_noise_8p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,8.0,0.5,64-32,0.1,1e-05,0.28412673036996583,0.8407702523240372,0.7340043134435658,0.5518918918918919,0.6300524529466214,"[[10620, 740], [1658, 2042]]",0.8835517938713361,0.7423681181290421,62.27966785430908,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.0972428324131801
dp_mlp_bs_256_clip_1p0_noise_8p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,8.0,1.0,64-32,0.1,1e-05,0.28412673036996583,0.8110889774236387,0.6176713459950454,0.6064864864864865,0.6120278194463384,"[[9971, 1389], [1456, 2244]]",0.8464668466882376,0.6769406796113604,64.0042245388031,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.11526746591346304
dp_mlp_bs_256_clip_2p0_noise_8p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,8.0,2.0,64-32,0.1,1e-05,0.28412673036996583,0.7282204515272245,0.4203486015403324,0.2802702702702703,0.3363061456137506,"[[9930, 1430], [2663, 1037]]",0.7094453987438143,0.40341731699082156,64.5367488861084,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.3909891397460509
dp_mlp_bs_256_clip_3p0_noise_8p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,8.0,3.0,64-32,0.1,1e-05,0.28412673036996583,0.6907038512616201,0.336518771331058,0.2664864864864865,0.29743589743589743,"[[9416, 1944], [2714, 986]]",0.6603748929387133,0.33719984716892293,55.31599020957947,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.42985938792390405
dp_mlp_bs_256_clip_0p5_noise_10p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,10.0,0.5,64-32,0.1,1e-05,0.2245074727585028,0.8358565737051793,0.7050768203072812,0.5705405405405405,0.6307140723035555,"[[10477, 883], [1589, 2111]]",0.8754416515987817,0.7277106768475123,45.723912954330444,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.09658121305624601
dp_mlp_bs_256_clip_1p0_noise_10p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,10.0,1.0,64-32,0.1,1e-05,0.2245074727585028,0.7816733067729084,0.553478712357217,0.5762162162162162,0.5646186440677966,"[[9640, 1720], [1568, 2132]]",0.8089018129044537,0.5899621895022862,47.34264302253723,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.16267664129200488
dp_mlp_bs_256_clip_2p0_noise_10p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,10.0,2.0,64-32,0.1,1e-05,0.2245074727585028,0.7097609561752988,0.3856899488926746,0.30594594594594593,0.3412207987942728,"[[9557, 1803], [2568, 1132]]",0.6836505757518081,0.3698303600184651,46.82769155502319,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.3860744865655287
dp_mlp_bs_256_clip_3p0_noise_10p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,10.0,3.0,64-32,0.1,1e-05,0.2245074727585028,0.698605577689243,0.3217169570760731,0.2045945945945946,0.2501239055014043,"[[9764, 1596], [2943, 757]]",0.6459745313094786,0.3236564770569397,47.33572554588318,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.4771713798583972
dp_mlp_bs_256_clip_0p5_noise_15p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,15.0,0.5,64-32,0.1,1e-05,0.14751562301916102,0.7976759628154051,0.5799265605875153,0.6402702702702703,0.6086062941554271,"[[9644, 1716], [1331, 2369]]",0.8418072421012561,0.6498618149386185,45.78925848007202,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.11868899120437437
dp_mlp_bs_256_clip_1p0_noise_15p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,15.0,1.0,64-32,0.1,1e-05,0.14751562301916102,0.7079681274900398,0.4173377546186641,0.47621621621621624,0.44483716233274423,"[[8900, 2460], [1938, 1762]]",0.7174735439665018,0.4140355708593562,46.23451852798462,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.28245812302705725
dp_mlp_bs_256_clip_2p0_noise_15p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,15.0,2.0,64-32,0.1,1e-05,0.14751562301916102,0.6579017264276228,0.3415539065910083,0.422972972972973,0.37792803670610964,"[[8343, 3017], [2135, 1565]]",0.6436409759231062,0.31997789124726117,46.4474413394928,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.34936724865369184
dp_mlp_bs_256_clip_3p0_noise_15p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,15.0,3.0,64-32,0.1,1e-05,0.14751562301916102,0.650531208499336,0.3294785075278202,0.4081081081081081,0.36460219727152,"[[8287, 3073], [2190, 1510]]",0.6089735201751046,0.2972015340173787,45.16490602493286,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.3626930880882815
dp_mlp_bs_256_clip_0p5_noise_20p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,20.0,0.5,64-32,0.1,1e-05,0.11031484763150208,0.7693227091633467,0.5274271844660194,0.5872972972972973,0.5557544757033248,"[[9413, 1947], [1527, 2173]]",0.8010822349638371,0.5551430810097432,45.27385210990906,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.17154080965647667
dp_mlp_bs_256_clip_1p0_noise_20p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,20.0,1.0,64-32,0.1,1e-05,0.11031484763150208,0.6770252324037185,0.38266129032258067,0.512972972972973,0.43833718244803693,"[[8298, 3062], [1802, 1898]]",0.694947980110392,0.36539690527950897,44.90357518196106,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.28895810291176455
dp_mlp_bs_256_clip_2p0_noise_20p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,20.0,2.0,64-32,0.1,1e-05,0.11031484763150208,0.6572377158034528,0.35519017432646594,0.4845945945945946,0.4099222679469593,"[[8105, 3255], [1907, 1793]]",0.6315791420822231,0.3162944384543363,45.67260670661926,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.3173730174128422
dp_mlp_bs_256_clip_3p0_noise_20p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,50,256,0.05,sgd,0.9,20.0,3.0,64-32,0.1,1e-05,0.11031484763150208,0.6531872509960159,0.3503046982504423,0.48162162162162164,0.40559918060771594,"[[8055, 3305], [1918, 1782]]",0.6089201322801674,0.3023762598135574,45.38211631774902,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.32169610475208554
