experiment_id,seed,model_name,model_variant,is_dp,dataset,train_size,test_size,input_dim,epochs,batch_size,learning_rate,optimizer,momentum,noise_multiplier,max_grad_norm,hidden_dims,dropout,delta,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,notes,status,device,reference_f1,f1_drop_vs_reference
dp_mlp_bs_256_clip_0p5_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,0.5,64-32,0.1,1e-05,0.5124487055209154,0.84734395750332,0.7455310199789695,0.5748648648648649,0.6491683198535022,"[[10634, 726], [1573, 2127]]",0.9029360844118768,0.7650698831914954,23.23807668685913,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.07812696550629927
dp_mlp_bs_256_clip_1p0_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,1.0,64-32,0.1,1e-05,0.5124487055209154,0.8490703851261621,0.7461193515005174,0.5845945945945946,0.6555538717987573,"[[10624, 736], [1537, 2163]]",0.900543645317853,0.7617407866436524,22.615514755249023,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.07174141356104413
dp_mlp_bs_256_clip_2p0_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,2.0,64-32,0.1,1e-05,0.5124487055209154,0.8397078353253652,0.755564387917329,0.5137837837837838,0.6116473616473617,"[[10745, 615], [1799, 1901]]",0.8893883826608298,0.7405194217945689,23.354573249816895,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.11564792371243982
dp_mlp_bs_256_clip_3p0_noise_3p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,3.0,3.0,64-32,0.1,1e-05,0.5124487055209154,0.8293492695883135,0.7181467181467182,0.5027027027027027,0.5914149443561209,"[[10630, 730], [1840, 1860]]",0.8737460268366957,0.7049969412502983,23.048251628875732,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.13588034100368063
dp_mlp_bs_256_clip_0p5_noise_5p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,5.0,0.5,64-32,0.1,1e-05,0.2908048389206701,0.8444223107569722,0.7452114203108059,0.5572972972972973,0.637699087675893,"[[10655, 705], [1638, 2062]]",0.8974173724781119,0.7531981733043035,23.490710258483887,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.08959619768390847
dp_mlp_bs_256_clip_1p0_noise_5p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,5.0,1.0,64-32,0.1,1e-05,0.2908048389206701,0.8401726427622842,0.7362075264888565,0.5445945945945946,0.6260680441199317,"[[10638, 722], [1685, 2015]]",0.8887509278644842,0.7379665871712432,22.99593710899353,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.10122724123986981
dp_mlp_bs_256_clip_2p0_noise_5p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,5.0,2.0,64-32,0.1,1e-05,0.2908048389206701,0.8227091633466136,0.6830135039090263,0.5194594594594595,0.5901136014737488,"[[10468, 892], [1778, 1922]]",0.8651102374381424,0.679977339569411,22.580137968063354,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.13718168388605267
dp_mlp_bs_256_clip_3p0_noise_5p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,5.0,3.0,64-32,0.1,1e-05,0.2908048389206701,0.7885790172642763,0.5628042843232717,0.6248648648648648,0.5922131147540983,"[[9564, 1796], [1388, 2312]]",0.8301559407118386,0.6137880788909764,23.049710988998413,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.13508217060570316
dp_mlp_bs_256_clip_0p5_noise_8p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,8.0,0.5,64-32,0.1,1e-05,0.17663390539385532,0.8373837981407702,0.7223604692499112,0.5491891891891892,0.6239828036235222,"[[10579, 781], [1668, 2032]]",0.887055160354016,0.7320695312416825,22.66275668144226,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.10331248173627927
dp_mlp_bs_256_clip_1p0_noise_8p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,8.0,1.0,64-32,0.1,1e-05,0.17663390539385532,0.8229083665338646,0.6728002676480428,0.5435135135135135,0.6012856929286889,"[[10382, 978], [1689, 2011]]",0.8684624214883898,0.685568045451786,22.951926708221436,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.12600959243111254
