experiment_id,model_name,is_dp,noise_multiplier,epsilon,attack_type,attack_auc,mean_train_confidence,mean_test_confidence,confidence_gap,num_train_samples,num_test_samples,notes
mia_mlp_baseline,mlp_baseline,False,,,confidence_threshold_auc,0.5020858391687983,0.8667519092559814,0.8651711344718933,0.0015807747840881348,30162,15060,AUC of confidence score for train-vs-test membership
mia_dp_sgd_noise_1.5,dp_sgd_noise_1.5,True,1.5,1.21430041194964,confidence_threshold_auc,0.5020641325685917,0.9638821482658386,0.9642547369003296,-0.0003725886344909668,30162,15060,AUC of confidence score for train-vs-test membership
mia_dp_sgd_noise_3.0,dp_sgd_noise_3.0,True,3.0,0.5124487055209154,confidence_threshold_auc,0.5015579317898489,0.9625362753868103,0.9621260762214661,0.0004101991653442383,30162,15060,AUC of confidence score for train-vs-test membership
